Cp       Points_0       Points_1       Points_2
0.0328627       -18.0798       8.5511       1.25
0.0335782       -18.2842       8.10482       1.25
0.0335782       -18.4776       7.65367       1.25
0.0335782       -18.6599       7.1979       1.25
0.0342937       -18.8309       6.7378       1.25
0.0342937       -18.9906       6.27363       1.25
0.0342937       -19.1388       5.80569       1.25
0.0342937       -19.2755       5.33425       1.25
0.0342937       -19.4006       4.8596       1.25
0.0342937       -19.514       4.38202       1.25
0.0342937       -19.6157       3.90181       1.25
0.0350092       -19.7056       3.41924       1.25
0.0350092       -19.7835       2.93461       1.25
0.0350092       -19.8496       2.44821       1.25
0.035367       -19.9037       1.96034       1.25
0.035367       -19.9458       1.47129       1.25
0.0357247       -19.9759       0.98135       1.25
0.0357247       -19.994       0.490824       1.25
0.0357247       -20       0       1.25
0.0364403       -19.994       -0.490824       1.25
0.0364403       -19.9759       -0.98135       1.25
0.0364403       -19.9458       -1.47129       1.25
0.0364403       -19.9037       -1.96034       1.25
0.0364403       -19.8496       -2.44821       1.25
0.0364403       -19.7835       -2.93461       1.25
0.0364403       -19.7056       -3.41924       1.25
0.0357247       -19.6157       -3.90181       1.25
0.0350092       -19.514       -4.38202       1.25
0.0350092       -19.4006       -4.8596       1.25
0.0350092       -19.2755       -5.33425       1.25
0.0350092       -19.1388       -5.80569       1.25
0.0350092       -18.9906       -6.27363       1.25
0.0342937       -18.8309       -6.7378       1.25
0.0335782       -18.6599       -7.1979       1.25
0.0335782       -18.4776       -7.65367       1.25
0.0335782       -18.2842       -8.10482       1.25
0.0335782       -18.0798       -8.5511       1.25
0.0335782       -17.8645       -8.99223       1.25
0.0328627       -17.6384       -9.42793       1.25
0.0321472       -17.4017       -9.85796       1.25
0.0321472       -17.1546       -10.2821       1.25
0.0321472       -16.8971       -10.6999       1.25
0.0321472       -16.6294       -11.1114       1.25
0.0321472       -16.3517       -11.5162       1.25
0.0321472       -16.0642       -11.914       1.25
0.0314316       -15.7669       -12.3046       1.25
0.0314316       -15.4602       -12.6879       1.25
0.0314316       -15.1442       -13.0635       1.25
0.0314316       -14.819       -13.4312       1.25
0.0314316       -14.4849       -13.7908       1.25
0.0314316       -14.1421       -14.1421       1.25
0.0314316       -13.7908       -14.4849       1.25
0.0314316       -13.4312       -14.819       1.25
0.0307332       -13.0635       -15.1442       1.25
0.0307332       -12.6879       -15.4602       1.25
0.0307332       -12.3046       -15.7669       1.25
0.0307332       -11.914       -16.0641       1.25
0.0307332       -11.5162       -16.3517       1.25
0.0300176       -11.1114       -16.6294       1.25
0.0300176       -10.7       -16.8971       1.25
0.0300176       -10.2821       -17.1546       1.25
0.0293021       -9.85796       -17.4017       1.25
0.0285866       -9.42794       -17.6384       1.25
0.0285866       -8.99223       -17.8645       1.25
0.0285866       -8.5511       -18.0798       1.25
0.0278711       -8.10483       -18.2842       1.25
0.0271556       -7.65367       -18.4776       1.25
0.0271556       -7.1979       -18.6599       1.25
0.0264401       -6.7378       -18.8309       1.25
0.0257245       -6.27363       -18.9906       1.25
0.0257245       -5.80569       -19.1388       1.25
0.0253668       -5.33426       -19.2755       1.25
0.0246513       -4.8596       -19.4006       1.25
0.0242935       -4.38203       -19.514       1.25
0.0242935       -3.90181       -19.6157       1.25
0.0242935       -3.41924       -19.7056       1.25
0.0242935       -2.93461       -19.7835       1.25
0.0242935       -2.44821       -19.8496       1.25
0.023578       -1.96034       -19.9037       1.25
0.023578       -1.47129       -19.9458       1.25
0.0242935       -0.981355       -19.9759       1.25
0.0242935       -0.490824       -19.994       1.25
0.025009       -8.74228e-07       -20       1.25
0.0257245       0.490823       -19.994       1.25
0.025009       0.981353       -19.9759       1.25
0.025009       1.47129       -19.9458       1.25
0.025009       1.96034       -19.9037       1.25
0.025009       2.44821       -19.8496       1.25
0.025009       2.93461       -19.7835       1.25
0.025009       3.41924       -19.7056       1.25
0.0242935       3.9018       -19.6157       1.25
0.0239357       4.38202       -19.514       1.25
0.0239357       4.8596       -19.4006       1.25
0.023578       5.33426       -19.2755       1.25
0.023578       5.80569       -19.1388       1.25
0.0232202       6.27363       -18.9906       1.25
0.0225047       6.7378       -18.8309       1.25
0.022147       7.1979       -18.6599       1.25
0.022147       7.65367       -18.4776       1.25
0.0214314       8.10483       -18.2842       1.25
0.0207159       8.5511       -18.0798       1.25
0.0207159       8.99223       -17.8645       1.25
0.0207159       9.42793       -17.6384       1.25
0.0200004       9.85796       -17.4017       1.25
0.0192849       10.2821       -17.1546       1.25
0.0185864       10.7       -16.8971       1.25
0.0185864       11.1114       -16.6294       1.25
0.0185864       11.5162       -16.3517       1.25
0.0178709       11.914       -16.0641       1.25
0.0171554       12.3046       -15.7669       1.25
0.0164399       12.6879       -15.4602       1.25
0.0157243       13.0635       -15.1442       1.25
0.0150088       13.4312       -14.819       1.25
0.0142933       13.7908       -14.4849       1.25
0.01322       14.1421       -14.1421       1.25
0.011789       14.4849       -13.7908       1.25
0.0114312       14.819       -13.4312       1.25
0.0107157       15.1442       -13.0635       1.25
0.0100002       15.4602       -12.6879       1.25
0.00964244       15.7669       -12.3046       1.25
0.00964244       16.0641       -11.914       1.25
0.00928468       16.3517       -11.5162       1.25
0.00856917       16.6294       -11.1114       1.25
0.00856917       16.8971       -10.7       1.25
0.00856917       17.1546       -10.2821       1.25
0.00785365       17.4017       -9.85796       1.25
0.00785365       17.6384       -9.42793       1.25
0.00785365       17.8645       -8.99223       1.25
0.00785365       18.0798       -8.5511       1.25
0.00785365       18.2842       -8.10483       1.25
0.00749589       18.4776       -7.65367       1.25
0.00749589       18.6599       -7.1979       1.25
0.00749589       18.8309       -6.7378       1.25
0.00749589       18.9906       -6.27363       1.25
0.00713813       19.1388       -5.80569       1.25
0.00713813       19.2755       -5.33426       1.25
0.00713813       19.4006       -4.8596       1.25
0.00713813       19.514       -4.38202       1.25
0.00713813       19.6157       -3.90181       1.25
0.00713813       19.7056       -3.41924       1.25
0.00713813       19.7835       -2.93461       1.25
0.00643965       19.8496       -2.44821       1.25
0.00572414       19.9037       -1.96034       1.25
0.00500862       19.9458       -1.47129       1.25
0.00357758       19.9759       -0.981354       1.25
0.00286207       19.994       -0.490825       1.25
